order_id,order_date,customer_id,region,channel,status
O000391,2023-01-16,C001025,Southwest,online,completed
O000398,2023-01-16,C000312,Northeast,retail,completed
O000400,2023-01-16,C001867,Midwest,marketplace,completed
O000403,2023-01-16,C003491,Northeast,marketplace,completed
O000405,2023-01-16,C002289,Midwest,retail,completed
O000421,2023-01-17,C004251,Northeast,online,completed
O000428,2023-01-17,C000006,West,retail,completed
O000439,2023-01-18,C002506,West,retail,completed
O000458,2023-01-19,C001063,Southeast,online,completed
O000470,2023-01-19,C002385,West,online,completed
O000484,2023-01-20,C002918,Midwest,retail,completed
O000492,2023-01-20,C001182,Southeast,online,completed
O000503,2023-01-20,C003876,Southeast,retail,completed
O000507,2023-01-20,C002711,West,retail,completed
O000514,2023-01-21,C003211,Southeast,retail,completed
O000515,2023-01-21,C000532,West,retail,completed
O000535,2023-01-22,C002634,Southeast,online,completed
O000536,2023-01-22,C003159,West,online,completed
O000539,2023-01-22,C003677,West,online,completed
O000544,2023-01-22,C002315,West,online,completed
O000547,2023-01-22,C000324,West,online,pending
O000550,2023-01-22,C003421,West,online,completed
O000552,2023-01-22,C001052,West,online,pending
O000563,2023-01-23,C004077,Northeast,online,completed
O000575,2023-01-23,C002991,West,online,completed
O000586,2023-01-23,C000864,West,marketplace,pending
O000588,2023-01-24,C004228,West,marketplace,completed
O000598,2023-01-24,C002797,Southeast,online,completed
O000600,2023-01-24,C004392,Midwest,online,completed
O000615,2023-01-25,C003541,West,marketplace,completed
O000643,2023-01-26,C004515,Southeast,marketplace,completed
O000650,2023-01-26,C004335,Southeast,online,cancelled
O000667,2023-01-27,C004062,Southwest,retail,completed
O000670,2023-01-27,C001205,Midwest,marketplace,completed
O000675,2023-01-27,C004922,Midwest,retail,completed
O000676,2023-01-28,C000847,Southeast,retail,completed
O000680,2023-01-28,C000433,Midwest,marketplace,completed
O000694,2023-01-28,C003699,Southwest,online,cancelled
O000706,2023-01-29,C004774,West,marketplace,completed
O000713,2023-01-29,C003237,West,marketplace,completed
O000714,2023-01-29,C002987,West,marketplace,cancelled
O000715,2023-01-29,C004382,Northeast,online,completed
O000720,2023-01-29,C004065,Northeast,online,completed
O000721,2023-01-29,C004437,Southeast,online,completed
O000724,2023-01-29,C001676,West,retail,completed
O000725,2023-01-29,C001119,Southeast,online,pending
O000733,2023-01-30,C003855,West,online,completed
O000761,2023-01-31,C004756,Southwest,online,completed
O000766,2023-01-31,C004485,Midwest,online,completed
O000770,2023-01-31,C001462,West,retail,pending
