snapshot_month,product_id,region,quantity_available
2023-03,P00007,West,302
2023-04,P00007,Northeast,196
2023-05,P00007,West,260
2023-06,P00007,Midwest,49
2023-07,P00007,West,369
2023-08,P00007,Northeast,337
2023-09,P00007,Southeast,166
2023-10,P00007,Northeast,111
2023-11,P00007,Northeast,202
2023-12,P00007,Southeast,31
2024-01,P00007,West,396
2024-02,P00007,Southwest,353
2023-01,P00008,Southeast,119
2023-02,P00008,Southwest,117
2023-03,P00008,West,264
2023-04,P00008,Southeast,308
2023-05,P00008,Midwest,190
2023-06,P00008,Midwest,184
2023-07,P00008,Southwest,302
2023-08,P00008,West,272
2023-09,P00008,West,307
2023-10,P00008,West,330
2023-11,P00008,Northeast,358
2023-12,P00008,Northeast,63
2024-01,P00008,Southwest,281
2024-02,P00008,Midwest,268
2023-01,P00009,Southeast,329
2023-02,P00009,Midwest,139
2023-03,P00009,West,131
2023-04,P00009,West,21
2023-05,P00009,Southwest,67
2023-06,P00009,Northeast,333
2023-07,P00009,West,386
2023-08,P00009,Midwest,320
2023-09,P00009,Southwest,373
2023-10,P00009,Northeast,286
2023-11,P00009,West,167
2023-12,P00009,Southeast,332
2024-01,P00009,Northeast,360
2024-02,P00009,Southeast,306
2023-01,P00010,Northeast,270
2023-02,P00010,Midwest,365
2023-03,P00010,Northeast,333
2023-04,P00010,West,230
2023-05,P00010,Southwest,130
2023-06,P00010,Southeast,35
2023-07,P00010,Midwest,323
2023-08,P00010,Southeast,187
2023-09,P00010,Southeast,120
2023-10,P00010,Southeast,81
2023-11,P00010,Northeast,69
2023-12,P00010,West,101
2024-01,P00010,West,388
2024-02,P00010,Northeast,21
2023-01,P00011,West,265
2023-02,P00011,Northeast,51
2023-03,P00011,West,234
2023-04,P00011,Southwest,151
2023-05,P00011,Northeast,185
2023-06,P00011,Southwest,297
2023-07,P00011,Southeast,331
2023-08,P00011,Midwest,-2
2023-09,P00011,Southeast,296
2023-10,P00011,Midwest,124
2023-11,P00011,Southeast,374
2023-12,P00011,Southeast,71
2024-01,P00011,Southwest,231
2024-02,P00011,Midwest,166
2023-01,P00012,Midwest,304
2023-02,P00012,Northeast,219
2023-03,P00012,Southeast,369
2023-04,P00012,Midwest,71
2023-05,P00012,Southwest,91
2023-06,P00012,Northeast,58
2023-07,P00012,Northeast,42
2023-08,P00012,Midwest,24
2023-09,P00012,Midwest,174
2023-10,P00012,Northeast,39
2023-11,P00012,Midwest,28
2023-12,P00012,Southeast,391
2024-01,P00012,Northeast,210
2024-02,P00012,Northeast,231
2023-01,P00013,Midwest,20
2023-02,P00013,Southwest,5
2023-03,P00013,West,10
2023-04,P00013,Southeast,0
2023-05,P00013,Southeast,10
2023-06,P00013,Midwest,20
2023-07,P00013,Midwest,0
2023-08,P00013,Midwest,0
2023-09,P00013,Midwest,0
2023-10,P00013,Southwest,10
2023-11,P00013,Southwest,5
2023-12,P00013,West,0
2024-01,P00013,Midwest,0
2024-02,P00013,Southeast,10
2023-01,P00014,Southeast,317
2023-02,P00014,Midwest,110
2023-03,P00014,Midwest,69
2023-04,P00014,Southwest,39
2023-05,P00014,Southeast,67
2023-06,P00014,Northeast,118
2023-07,P00014,Southeast,330
2023-08,P00014,West,323
2023-09,P00014,Southeast,90
2023-10,P00014,Southwest,303
2023-11,P00014,Midwest,338
2023-12,P00014,Northeast,244
2024-01,P00014,Midwest,207
2024-02,P00014,West,218
2023-01,P00015,Midwest,346
2023-02,P00015,Northeast,191
2023-03,P00015,Southwest,72
2023-04,P00015,Midwest,149
