order_item_id,order_id,product_id,quantity_sold,unit_sale_price,discount_pct
OI0000639,O000339,P00032,3,232.3,0.062
OI0000646,O000343,P00008,2,35.71,0.092
OI0000669,O000354,P00028,3,222.77,0.188
OI0000680,O000359,P00039,1,184.65,0.0
OI0000684,O000360,P00025,5,93.08,0.055
OI0000691,O000364,P00029,3,32.69,0.174
OI0000696,O000366,P00026,4,25.27,0.056
OI0000710,O000374,P00036,1,81.73,0.062
OI0000714,O000377,P00013,2,4.7,0.102
OI0000728,O000384,P00034,3,94.04,0.107
OI0000734,O000387,P00038,4,53.54,0.099
OI0000740,O000391,P00036,1,81.73,0.098
OI0000757,O000398,P00033,1,113.64,0.0
OI0000762,O000400,P00008,2,35.71,0.185
OI0000766,O000403,P00016,1,333.44,0.161
OI0000768,O000405,P00025,1,93.08,0.034
OI0000798,O000421,P00014,2,143.4,0.1
OI0000812,O000428,P00009,4,29.76,0.19
OI0000827,O000439,P00028,2,222.77,0.0
OI0000863,O000458,P00006,1,26.95,0.122
OI0000882,O000470,P00011,3,118.52,0.137
OI0000913,O000484,P00033,3,113.64,0.125
OI0000925,O000492,P00012,4,126.1,0.099
OI0000948,O000503,P00001,1,13.59,0.09
OI0000953,O000507,P00028,2,222.77,0.181
OI0000964,O000514,P00020,5,83.22,0.111
OI0000965,O000515,P00037,4,98.11,0.105
OI0001007,O000535,P00034,1,85.08,0.223
OI0001012,O000536,P00021,4,70.36,0.147
OI0001018,O000539,P00021,1,70.36,0.0
OI0001028,O000544,P00007,4,266.95,0.011
OI0001035,O000547,P00028,4,222.77,0.121
OI0001041,O000550,P00026,1,25.27,0.116
OI0001044,O000552,P00018,1,50.13,0.111
OI0001063,O000563,P00015,1,238.47,0.059
OI0001084,O000575,P00015,1,238.47,0.024
OI0001105,O000586,P00029,1,32.69,0.08
OI0001106,O000586,P00015,2,238.47,0.078
OI0001108,O000588,P00033,1,113.64,0.115
OI0001124,O000598,P00001,1,13.59,0.14
OI0001127,O000600,P00040,1,156.84,0.14
OI0001152,O000615,P00007,5,266.95,0.027
OI0001199,O000643,P00020,1,76.37,0.068
OI0001211,O000650,P00029,1,27.34,0.046
OI0001244,O000667,P00003,1,94.69,0.097
OI0001250,O000670,P00040,1,172.51,0.14
OI0001259,O000675,P00017,2,14.92,0.134
OI0001262,O000676,P00016,1,333.44,0.008
OI0001272,O000680,P00040,1,172.51,0.022
OI0001296,O000694,P00031,2,122.33,0.036
OI0001315,O000706,P00028,1,222.77,0.019
OI0001329,O000713,P00037,2,114.21,0.136
OI0001331,O000714,P00016,2,333.44,0.071
OI0001333,O000715,P00032,4,232.3,0.179
OI0001345,O000720,P00039,1,184.65,0.102
OI0001348,O000721,P00015,1,238.47,0.111
OI0001355,O000724,P00034,1,82.71,0.009
OI0001358,O000725,P00004,1,54.74,0.097
OI0001367,O000733,P00008,1,35.71,0.108
OI0001420,O000761,P00035,2,102.44,0.031
OI0001428,O000766,P00012,1,105.91,0.098
OI0001441,O000770,P00026,1,25.27,0.049
